begin;open;close;high;low;value;volume;name
2023-04-20 00:00:00;233.32;236.28;236.47;229.84;19879696925.7;85093750;SBER
2023-04-21 00:00:00;237.4;235.17;238.85;233.52;27370731655.4;115905760;SBER
2023-04-24 00:00:00;235.07;235.1;236.4;234.1;7185358111.2;30536770;SBER
2023-04-25 00:00:00;235.13;235.3;235.82;234.21;7565048264.5;32187450;SBER
2023-04-26 00:00:00;235.6;235.21;235.95;234.91;5751047264.4;24430320;SBER
2023-04-27 00:00:00;235.59;240.38;240.74;235.13;16307607839.2;68311610;SBER
2023-04-28 00:00:00;240.9;240.38;241.58;237.66;11892356487.7;49583350;SBER
2023-05-02 00:00:00;242.2;242.62;245.0;237.4;20364151649.6;83957810;SBER
2023-05-03 00:00:00;242.85;235.77;242.99;234.0;18372320194.5;76827180;SBER
2023-05-04 00:00:00;236.89;238.89;239.74;236.05;12637521165.2;53079590;SBER
2023-05-05 00:00:00;239.24;237.7;240.66;237.3;14683897982.1;61366140;SBER
2023-05-08 00:00:00;238.69;238.27;239.86;237.36;11420605923.6;47865890;SBER
2023-05-10 00:00:00;216.5;227.06;227.5;215.7;34751930179.7;156874740;SBER
2023-05-11 00:00:00;228.87;229.32;235.38;223.94;45532596380.3;197302410;SBER
2023-05-12 00:00:00;231.0;229.29;232.47;226.15;16140281925.4;70528170;SBER
2023-05-15 00:00:00;230.51;231.7;231.75;228.52;11295223379.6;49090190;SBER
2023-05-16 00:00:00;232.4;230.62;232.86;229.57;8446678565.3;36613690;SBER
2023-05-17 00:00:00;229.86;230.55;230.97;228.75;7300922562.3;31770380;SBER
2023-05-18 00:00:00;231.7;231.7;234.49;230.72;13063333221.1;56228190;SBER
2023-05-19 00:00:00;230.99;231.27;232.3;229.81;7309847108.3;31639980;SBER
2023-05-22 00:00:00;232.2;231.0;232.78;230.0;6122461335.3;26487190;SBER
2023-05-23 00:00:00;231.25;236.43;237.29;230.21;14730893977.2;63010540;SBER
2023-05-24 00:00:00;237.49;246.06;246.13;236.26;20714536176.6;86011970;SBER
2023-05-25 00:00:00;246.1;243.76;247.4;242.65;17342598158.4;70882360;SBER
2023-05-26 00:00:00;243.45;248.1;249.64;242.81;17064289810.3;69202730;SBER
2023-05-29 00:00:00;249.78;251.18;252.59;248.85;17017721478.8;67999610;SBER
2023-05-30 00:00:00;248.84;244.65;250.85;243.8;20681901312.6;83533260;SBER
2023-05-31 00:00:00;244.0;246.17;247.18;240.27;17794062792.6;72912500;SBER
2023-06-01 00:00:00;247.0;241.66;247.0;240.57;12670513593.5;52046910;SBER
2023-06-02 00:00:00;242.0;243.95;245.5;240.77;11331232122.6;46542940;SBER
2023-06-05 00:00:00;243.51;237.12;244.15;235.1;18897132269.5;78742190;SBER
2023-06-06 00:00:00;235.92;240.91;242.1;232.54;23816658058.8;100640180;SBER
2023-06-07 00:00:00;241.2;241.25;244.39;238.56;15268682081.7;63130930;SBER
2023-06-08 00:00:00;241.3;241.77;242.78;239.55;7222971807.9;29945470;SBER
2023-06-09 00:00:00;242.8;240.4;243.0;240.11;6659895379.3;27569100;SBER
2023-06-13 00:00:00;241.51;244.33;244.5;240.63;9863948131.0;40551890;SBER
2023-06-14 00:00:00;245.7;244.6;247.68;242.8;12822239153.4;52205640;SBER
2023-06-15 00:00:00;245.11;245.18;245.94;243.22;9807475223.8;40063590;SBER
2023-06-16 00:00:00;245.5;243.87;245.9;243.7;5729888135.6;23441160;SBER
2023-06-19 00:00:00;244.47;242.28;244.69;241.32;7239082414.0;29844240;SBER
2023-06-20 00:00:00;241.99;241.74;242.22;238.82;8820107717.8;36621960;SBER
2023-06-21 00:00:00;241.9;242.2;243.92;240.6;6509866591.4;26830770;SBER
2023-06-22 00:00:00;242.15;240.66;242.8;240.13;5590904541.9;23136750;SBER
2023-06-23 00:00:00;239.98;235.67;240.99;234.34;14736944961.5;61886110;SBER
2023-06-26 00:00:00;239.6;238.4;240.5;233.4;19509065518.1;82016390;SBER
2023-06-27 00:00:00;239.02;241.21;242.34;236.8;12350836600.0;51466410;SBER
2023-06-28 00:00:00;241.8;239.67;241.8;238.6;6793968901.0;28310570;SBER
2023-06-29 00:00:00;239.94;239.99;241.26;239.02;6771141228.4;28192150;SBER
2023-06-30 00:00:00;240.0;239.61;240.68;238.36;5759887900.0;24051460;SBER
2023-07-03 00:00:00;240.0;243.33;244.56;239.15;11469844958.6;47333310;SBER
2023-07-04 00:00:00;243.4;240.7;243.78;240.61;10055387487.4;41561500;SBER
2023-07-05 00:00:00;241.49;240.95;241.9;240.24;4814047501.4;19972080;SBER
2023-07-06 00:00:00;241.47;240.96;242.47;240.71;5618736214.0;23260340;SBER
2023-07-07 00:00:00;241.49;243.67;243.75;240.7;7332444797.9;30275210;SBER
2023-07-10 00:00:00;244.21;249.4;249.45;244.2;16071729444.1;65076680;SBER
2023-07-11 00:00:00;250.01;247.99;250.2;246.51;12299322430.2;49590820;SBER
2023-07-12 00:00:00;248.4;247.52;249.2;246.1;9753032391.9;39316540;SBER
2023-07-13 00:00:00;247.97;246.19;248.15;245.34;7288359089.4;29561460;SBER
2023-07-14 00:00:00;246.32;246.45;247.05;244.51;6311038243.1;25661560;SBER
2023-07-17 00:00:00;244.77;245.39;246.2;243.6;8878816493.1;36193390;SBER
2023-07-18 00:00:00;245.8;246.77;247.5;245.26;8881118332.9;36008340;SBER
2023-07-19 00:00:00;247.25;245.85;248.1;245.0;7752930513.8;31451760;SBER
2023-07-20 00:00:00;246.27;242.7;246.27;242.15;8801178563.7;36027010;SBER
2023-07-21 00:00:00;243.18;244.13;244.53;241.7;7857419374.2;32271770;SBER
2023-07-24 00:00:00;244.0;244.87;245.85;243.52;4841185545.1;19769440;SBER
2023-07-25 00:00:00;245.48;247.2;247.77;244.81;9802524256.7;39733390;SBER
2023-07-26 00:00:00;247.2;247.05;248.33;245.9;6452766655.3;26119270;SBER
